dni,representanteLegal,distrito,placa,tipo
86429854,moscoso/laura/janet-valentina,Punta_Hermosa,MKH303,GRANDE
86429854,moscoso/laura/janet-valentina,Punta_Hermosa,NLJ145,MEDIANO
86429854,moscoso/laura/janet-valentina,Punta_Hermosa,WSN850,MEDIANO
86429854,moscoso/laura/janet-valentina,Punta_Hermosa,DJF940,MEDIANO
86429854,moscoso/laura/janet-valentina,Punta_Hermosa,DVP556,PEQUENO
84186239,rivero/coronado/hector-alonso-jose,Lince,VSD693,GRANDE
84186239,rivero/coronado/hector-alonso-jose,Lince,JBY608,PEQUENO
80457845,norabuena/moya/hector,Jesus_Maria,TXZ356,GRANDE
80457845,norabuena/moya/hector,Jesus_Maria,CXL951,GRANDE
80457845,norabuena/moya/hector,Jesus_Maria,ZKS465,GRANDE
80457845,norabuena/moya/hector,Jesus_Maria,NYK823,MEDIANO
80457845,norabuena/moya/hector,Jesus_Maria,PXN299,PEQUENO
90467829,iparraguirre/perez-nicolas,Miraflores,KNT044,MEDIANO
90467829,iparraguirre/perez-nicolas,Miraflores,GPU957,GRANDE
90467829,iparraguirre/perez-nicolas,Miraflores,QQX387,PEQUENO
90467829,iparraguirre/perez-nicolas,Miraflores,ZFX148,PEQUENO
90467829,iparraguirre/perez-nicolas,Miraflores,XWV513,GRANDE
88854166,pinto/rojas/juvenal-francisco,Jesus_Maria,XKH320,MEDIANO
88854166,pinto/rojas/juvenal-francisco,Jesus_Maria,BHR917,PEQUENO
88854166,pinto/rojas/juvenal-francisco,Jesus_Maria,PWU367,GRANDE
88854166,pinto/rojas/juvenal-francisco,Jesus_Maria,NHE016,PEQUENO
88854166,pinto/rojas/juvenal-francisco,Jesus_Maria,HFY870,GRANDE
77367073,jauregui/del/castillo/victor-ricardo,San_Juan_de_Miraflores,THD727,GRANDE
77367073,jauregui/del/castillo/victor-ricardo,San_Juan_de_Miraflores,XST957,GRANDE
77367073,jauregui/del/castillo/victor-ricardo,San_Juan_de_Miraflores,VZS687,MEDIANO
73567806,arca/sanchez/magali-beatriz-iris,Santa_Anita,FZR743,PEQUENO
73567806,arca/sanchez/magali-beatriz-iris,Santa_Anita,WJS734,MEDIANO
73567806,arca/sanchez/magali-beatriz-iris,Santa_Anita,QCY434,GRANDE
73567806,arca/sanchez/magali-beatriz-iris,Santa_Anita,LLT122,MEDIANO
89941095,arca/larriega/lucero-yliana,Comas,HNY231,PEQUENO
89941095,arca/larriega/lucero-yliana,Comas,PPL876,GRANDE
89941095,arca/larriega/lucero-yliana,Comas,BGP690,MEDIANO
89941095,arca/larriega/lucero-yliana,Comas,UNR054,GRANDE
89941095,arca/larriega/lucero-yliana,Comas,NPT893,PEQUENO
87282766,suarez/chang/gloria,San_Bartolo,RHJ670,MEDIANO
73972114,avila/martel/jaime/manuel,San_Juan_de_Lurigancho,NLX627,GRANDE
73972114,avila/martel/jaime/manuel,San_Juan_de_Lurigancho,EVT069,MEDIANO
73972114,avila/martel/jaime/manuel,San_Juan_de_Lurigancho,UXA162,PEQUENO
73972114,avila/martel/jaime/manuel,San_Juan_de_Lurigancho,QFB465,MEDIANO
73972114,avila/martel/jaime/manuel,San_Juan_de_Lurigancho,GQL564,MEDIANO
79766395,fuentes/escalante/patricia/elizabeth,Santa_Anita,PJC708,PEQUENO
79766395,fuentes/escalante/patricia/elizabeth,Santa_Anita,BMH100,GRANDE
79766395,fuentes/escalante/patricia/elizabeth,Santa_Anita,HGA923,GRANDE
74325123,tang/moscoso/johana,La_Molina,ERX193,PEQUENO
74325123,tang/moscoso/johana,La_Molina,QYJ529,GRANDE
74325123,tang/moscoso/johana,La_Molina,VZY124,MEDIANO
74325123,tang/moscoso/johana,La_Molina,DUA496,GRANDE
74325123,tang/moscoso/johana,La_Molina,NYG193,PEQUENO
13628871,quiroga/hernandez/silvana-zkenia-maria,Independencia,DYK919,PEQUENO
75945248,mejia/rodriguez/ines-valentina,Punta_Hermosa,BMT651,GRANDE
75945248,mejia/rodriguez/ines-valentina,Punta_Hermosa,SWL067,GRANDE
75945248,mejia/rodriguez/ines-valentina,Punta_Hermosa,DPM726,PEQUENO
80310768,minaya/berrocal/heli,Carabayllo,FZS498,MEDIANO
80310768,minaya/berrocal/heli,Carabayllo,RQP945,MEDIANO
80310768,minaya/berrocal/heli,Carabayllo,HCJ737,GRANDE
80310768,minaya/berrocal/heli,Carabayllo,UVX650,GRANDE
80310768,minaya/berrocal/heli,Carabayllo,RLF735,MEDIANO
47528229,saavedra/gonzales/wilmer,Chorrillos,JLJ948,MEDIANO
47528229,saavedra/gonzales/wilmer,Chorrillos,ASG136,PEQUENO
82031355,egusquiza/berrocal/doris-nancy,Pucusana,RTH777,PEQUENO
82031355,egusquiza/berrocal/doris-nancy,Pucusana,ACK363,MEDIANO
