=======================================================================================================================================
REPORTE DE PRUEBA - ATENCIONES
FECHA     CODIGO  DURACION  PACIENTE
12/04/2023  4393   5656  698-47-1909
12/04/2023  6506  12306  698-47-1909
12/04/2023  8618   6915  852-35-5869
12/04/2023  9017   3652  462-37-3053
12/04/2023  4393  10693  481-99-1791
12/04/2023  1323   5578  551-80-9262
12/04/2023  7727  12307  229-85-2969
12/04/2023  8748   5667  260-54-7458
12/04/2023  1545   9242  535-11-6522
12/04/2023  3603  10667  635-96-2790
12/04/2023  8516   9660  113-60-6899
12/04/2023  4494   7835  260-54-7458
12/04/2023  9418   8051  770-82-7913
12/04/2023  9822   9594  728-31-2493
13/04/2023  2846   6294  834-50-2690
13/04/2023  5243   4751  799-44-2163
13/04/2023  6587   7990  481-99-1791
13/04/2023  8872   9058  782-34-4167
13/04/2023  8618   5459  834-50-2690
13/04/2023  2846  10163  111-19-4529
13/04/2023  9398  11605  669-74-2146
13/04/2023  1265   3915  374-26-1067
14/04/2023  3922   3597  782-34-4167
14/04/2023  1265   9269  459-36-1115
14/04/2023  9822   4122  782-34-4167
14/04/2023  1545   8443  145-39-5406
14/04/2023  6357   8496  808-75-2972
14/04/2023  9444   5047  260-54-7458
14/04/2023  5243   8883  888-46-1367
14/04/2023  9994   5643  119-28-5124
14/04/2023  3922   3927  636-29-5268
14/04/2023  5814   5850  888-46-1367
14/04/2023  5899   3794  278-49-6531
14/04/2023  5791  10207  808-75-2972
14/04/2023  8159   2265  469-84-4163
15/04/2023  1759   8222  636-29-5268
15/04/2023  4691   9025  260-54-7458
15/04/2023  5814   2278  280-60-4794
15/04/2023  9418  10340  834-50-2690
15/04/2023  3603  10828  867-16-8022
15/04/2023  6587   8770  378-12-5523
15/04/2023  2239   2361  469-84-4163
15/04/2023  8748   1867  659-67-6667
16/04/2023  9846   3486  462-37-3053
16/04/2023  9017   3889  852-35-5869
16/04/2023  2846   9427  659-67-6667
16/04/2023  2139   3357  646-67-2143
16/04/2023  4494   4018  852-35-5869
16/04/2023  9398   9893  469-84-4163
16/04/2023  9846   5998  691-12-9990
16/04/2023  8159   5607  344-36-7156
16/04/2023  8697   3831  814-60-1292
16/04/2023  8748   6821  521-84-1782
17/04/2023  2824   9937  635-96-2790
17/04/2023  4691   7626  535-11-6522
17/04/2023  2239   2200  344-36-7156
17/04/2023  8697   6337  799-44-2163
17/04/2023  4494   3228  521-84-1782
17/04/2023  5908   8587  521-84-1782
17/04/2023  4494   7944  890-83-9216
17/04/2023  5908   4611  506-94-2779
17/04/2023  1847   3335  808-11-5508
17/04/2023  8159   8063  236-99-6309
18/04/2023  2846  11482  198-35-6734
18/04/2023  1545   2292  867-16-8022
18/04/2023  8872  10195  635-96-2790
18/04/2023  6357  12586  198-35-6734
18/04/2023  2846   6640  481-99-1791
18/04/2023  5908  11491  198-35-6734
18/04/2023  9418   9133  728-31-2493
18/04/2023  1282   2952  280-60-4794
18/04/2023  8618   3655  706-19-4564
18/04/2023  1323   4660  280-60-4794
18/04/2023  6924   8085  521-84-1782
19/04/2023  7727   9407  782-34-4167
19/04/2023  2824  10790  415-95-3806
19/04/2023  2139   7894  112-44-3497
19/04/2023  1545   5564  888-46-1367
19/04/2023  9418  11827  635-96-2790
19/04/2023  9444   4311  706-19-4564
19/04/2023  9846   9614  462-37-3053
19/04/2023  1265  10490  502-54-3350
19/04/2023  3922  11089  691-12-9990
20/04/2023  9418  10851  521-84-1782
20/04/2023  3603  10800  374-26-1067
20/04/2023  1545   2768  462-37-3053
20/04/2023  2824   4197  659-67-6667
20/04/2023  5119   3203  506-94-2779
20/04/2023  9846   8793  374-26-1067
20/04/2023  9398   9303  520-32-2321
20/04/2023  9994   3105  506-94-2779
20/04/2023  2239   6311  852-35-5869
21/04/2023  9418  10979  808-11-5508
21/04/2023  4691   6214  521-84-1782
21/04/2023  8697   8093  195-51-9264
21/04/2023  2427  10007  119-28-5124
21/04/2023  8516   5472  890-83-9216
21/04/2023  5791   4438  462-37-3053
21/04/2023  8748   5657  119-28-5124
22/04/2023  5119   7678  131-71-6388
22/04/2023  2846   5095  462-37-3053
22/04/2023  3922   4655  852-35-5869
22/04/2023  8748   8129  646-67-2143
22/04/2023  4494   8198  662-21-6522
22/04/2023  1847  12533  274-80-8104
22/04/2023  1282   4543  551-80-9262
22/04/2023  1323  11041  260-54-7458
22/04/2023  5908   4682  535-11-6522
23/04/2023  8516   4253  201-90-2001
23/04/2023  6506   5805  521-84-1782
23/04/2023  9017   5315  712-25-4902
23/04/2023  3603   8385  888-46-1367
23/04/2023  9418   9352  236-99-6309
23/04/2023  5119   7939  462-37-3053
23/04/2023  2427   2037  198-35-6734
23/04/2023  9846   2612  229-85-2969
24/04/2023  2375  10796  506-94-2779
24/04/2023  9398  12513  198-35-6734
24/04/2023  5814  11819  659-67-6667
24/04/2023  2375   5542  260-54-7458
24/04/2023  8159   3677  344-36-7156
24/04/2023  8516   1849  166-20-2794
24/04/2023  6506   9012  131-71-6388
24/04/2023  1847   6903  481-99-1791
24/04/2023  6836   4923  145-39-5406
25/04/2023  2824   9492  535-11-6522
25/04/2023  8748   9902  481-99-1791
25/04/2023  5119  10196  469-30-6816
25/04/2023  5908  10095  867-16-8022
25/04/2023  5243   9834  662-21-6522
25/04/2023  1759   6089  469-30-6816
25/04/2023  6506   6423  521-84-1782
25/04/2023  5814   9189  260-54-7458
25/04/2023  2846   2835  520-32-2321
25/04/2023  7727   3576  502-54-3350
26/04/2023  2466   2070  145-39-5406
26/04/2023  2139   7412  712-25-4902
26/04/2023  6924   3629  113-60-6899
26/04/2023  1545   8221  112-44-3497
26/04/2023  1691  12515  166-20-2794
26/04/2023  2846   6366  481-99-1791
26/04/2023  6587  10202  280-60-4794
26/04/2023  5814  10993  782-34-4167
26/04/2023  5119  10278  506-94-2779
26/04/2023  9994   8239  113-60-6899
26/04/2023  1323   3803  506-94-2779
27/04/2023  2139   8349  274-80-8104
27/04/2023  3603   8693  469-84-4163
27/04/2023  1847   2099  867-16-8022
27/04/2023  9418  10501  782-34-4167
27/04/2023  5791   3973  131-71-6388
27/04/2023  1323   6346  251-72-9605
27/04/2023  1545   7994  119-28-5124
27/04/2023  1323  11373  502-54-3350
27/04/2023  5243   6537  195-51-9264
27/04/2023  6587   1988  706-19-4564
28/04/2023  2375  10336  198-35-6734
28/04/2023  1847   4002  770-82-7913
28/04/2023  9398   4533  145-39-5406
28/04/2023  4691   2552  481-99-1791
28/04/2023  2239   6786  112-44-3497
28/04/2023  5204   2272  662-21-6522
28/04/2023  4494   7262  278-49-6531
28/04/2023  2239  11091  888-46-1367
28/04/2023  9017   8584  201-90-2001
29/04/2023  4691   8851  145-39-5406
29/04/2023  1313   5597  890-83-9216
29/04/2023  8516   4358  852-35-5869
29/04/2023  9444  10039  659-67-6667
29/04/2023  1847   7308  113-60-6899
29/04/2023  1282   8487  728-31-2493
29/04/2023  4393   9657  201-90-2001
29/04/2023  9994   7907  770-82-7913
30/04/2023  9398   7914  111-19-4529
30/04/2023  3922  11820  521-84-1782
30/04/2023  2427  10542  131-71-6388
30/04/2023  7727   6830  852-35-5869
30/04/2023  8872  10410  131-71-6388
30/04/2023  2139   9855  229-85-2969
30/04/2023  5204   6247  459-36-1115
30/04/2023  1313   2680  770-82-7913
